23.06 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897060599'],FireStorm,['team_id=10056']
10.07 - 21:00,League 10.round,Soda Beņķa Sildītāji,['team_id=28975'],5:3,['match_id=897112332'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - Gundars Zikmans4 on 5,03:52,
,08:00,penalty player - Jurģis Nagrebis4 on 5
Gundars Zikmans - 1:0 Counter-attacks(unassisted),19:28,
,20:00,Aggressiveness +1
,20:00,Tactical points offense 5 defense 5
Andris Spītnieks - 2:0 Counter-attacks(Raymond Michel),20:10,
Blažej Krupka - 3:0 Counter-attacks(unassisted),22:24,
"Gundars Zikmans - 4:0 Counter-attacks, rebound(Gustav Lindblad, Filip Chvojka)",23:53,
,24:48,penalty player - Mário Iván4 on 5
penalty player - Gundars Zikmans4 on 4,25:13,
Filip Chvojka - 5:0 (perfect pass Dan Stanciulescu),37:34,
,38:11,Ice time distribution 65/55/45/35
,38:29,"Joshua Adams - 5:1 (excellent pass Mário Iván, Vasile Halip)"
,40:00,Tactical points offense 5 defense 5
,44:44,"Bohuslav Kotrba - 5:2 (perfect pass Maigonis Ušackis, Dennis Ivarsson)"
penalty player - Ildar Savonov4 on 5,45:15,
,46:22,"Folmer Toft - 5:3 PP(excellent pass Joshua Adams, Vasile Halip)"
penalty player - Andris Spītnieks4 on 5,49:21,
11.07 - 22:00,Friendly,Ainon HT,['team_id=19177'],0:6,['match_id=897247664'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - Ilmari Auvinen4 on 5,01:49,
penalty player - Ahto Harju4 on 5,10:03,
,19:06,"Uvis Vakseris - 0:1 (Alberts Timanovskis, Arnolds Ziedkalns)"
,20:00,Tactical points offense 5 defense 5
,21:10,"Vladimirs Znotiņš - 0:2 (genius pass Leroy Sizemore, Osvalds Jākabsons)"
,27:15,Uvis Vakseris - 0:3 (perfect pass Alberts Timanovskis)
Goalie has temporarily lost his confidence in himself,27:15,
penalty player - 4 on 5,28:05,
,32:12,"Francis Taukulis - 0:4 (Petr Pozhnikov, Jurģis Nagrebis)"
,40:00,Tactical points offense 5 defense 5
penalty player - Kaj Vihattula4 on 5,43:53,
,49:38,Uvis Vakseris - 0:5 (perfect pass Alberts Timanovskis)
,52:00,"Jurģis Nagrebis - 0:6 Counter-attacks(genius pass Juris Norītis, Atis Zilgalvis)"
,55:59,penalty player - Atis Zilgalvis4 on 5
12.07 - 21:00,League 11.round,HC Jelgava Stars,['team_id=42152'],3:1,['match_id=897112354'],BLACK RABBIT,['team_id=23824']
Tactical points offense 5 defense 5,00:00,
"Folmer Toft - 1:0 (Dennis Ivarsson, Maigonis Ušackis)",01:25,
,11:23,Ziedonis Jakovļevs - 1:1 (Indulis Purvs)
Pulling the goalie,12:02,
,19:09,penalty player - Gatis Baranovs4 on 5
Tactical points offense 5 defense 5,20:00,
"Ilya Tonkonogov - 2:1 PP(genius pass Bohuslav Kotrba, Vasile Halip)",20:41,
penalty player - Folmer Toft4 on 5,26:37,
,31:35,penalty player - Varis Neija4 on 5
Dennis Ivarsson - 3:1 PPrebound(genius pass Mário Iván),33:09,
penalty player - Cyrille Boulanger4 on 5,37:06,
Tactical points offense 5 defense 5,40:00,
13.07 - 21:00,League 12.round,bananiosi,['team_id=18832'],0:5,['match_id=897112366'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
,00:58,penalty player - Maigonis Ušackis4 on 5
,13:29,Alberts Timanovskis - 0:1 (excellent pass Ernests Beļavskis)
,18:02,Vasile Halip - 0:2 (Joshua Adams)
penalty player - Aleksanteri Hakkarainen4 on 5,20:00,
,20:00,Tactical points offense 5 defense 5
,21:43,Maigonis Ušackis - 0:3 PP (Dennis Ivarsson)
Goalie has temporarily lost his confidence in himself,21:43,
penalty player - Sandis Rupais4 on 5,22:42,
penalty player - Sandis Rupais4 on 5,30:43,
,31:16,Atis Zilgalvis - 0:4 PP(unassisted)
penalty player - Igors Baumanis4 on 5,36:17,
penalty player - Konstantīns Bartkēvičs3 on 5,37:41,
,40:00,Tactical points offense 5 defense 5
,42:59,penalty player - Edgars Miķelsons4 on 5
penalty player - Pēteris Podnieks4 on 5,45:57,
penalty player - 3 on 5,47:18,
,47:27,"Vasile Halip - 0:5 PP(Ilya Tonkonogov, Bohuslav Kotrba)"
14.07 - 21:00,Friendly,PUČT.PILSNER ЦRQUELL ČESKÁ TŘEBOVÁ,['team_id=21422'],2:5,['match_id=897248358'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - Jakub Večeřa4 on 5,03:02,
,08:02,penalty player - Andris Kraulis4 on 5
Marek Vítek - 1:0 PP(average pass Jakub Bureš),08:05,
penalty player - Jan Holub4 on 5,14:05,
,14:22,penalty player - Edmunds Bambergs4 on 4
,20:00,Tactical points offense 5 defense 5
penalty player - Martin Nejedlý4 on 5,25:03,
,25:16,"Jurģis Nagrebis - 1:1 PP(perfect pass Dzidris Skrastiņš, Atis Zilgalvis)"
"Jan Holub - 2:1 (neat pass Marek Vítek, Jakub Večeřa)",32:50,
,33:23,Pulling the goalie
,33:25,"Staņislavs Bullītis - 2:2 (neat pass Edgars Miķelsons, Uvis Vakseris)"
penalty player - Jan Holub4 on 5,35:23,
,40:00,Tactical points offense 5 defense 5
penalty player - Dominikus Peyerl4 on 5,48:00,
,49:33,Uvis Vakseris - 2:3 PP(poor pass Staņislavs Bullītis)
